id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1761582221079838949,tweet,2024-02-25,Sun Feb 25 02:41:44 +0000 2024,14,6,138,,"おはよう！雨降ってるので撮影会来てくれる方はお気をつけてください🥹
13:00~16:45までおまちしてます❕

20:00~はラストチェキチャだよ！1日よろしくお願いします𖦹.  ̫ .𖦹",https://x.com/harada_suzuka/status/1761582221079838949
1761333126872121514,tweet,2024-02-24,Sat Feb 24 10:11:56 +0000 2024,4,18,152,,ずーちゃんの投稿動画を楽しみましょう！#TikTok ,https://x.com/harada_suzuka/status/1761333126872121514
1761304215685574658,tweet,2024-02-24,Sat Feb 24 08:17:03 +0000 2024,6,29,172,,"いよいよ明日ラストイベントです(т · т ᐡ )💭
物販は全ての部で購入可能なので予定のない時間あればふら〜っとでも遊びに来てくれたら嬉しいです！
まってます❤︎",https://x.com/harada_suzuka/status/1761304215685574658
1760945643714154756,tweet,2024-02-23,Fri Feb 23 08:32:12 +0000 2024,13,1,151,,卒業マルシェ描きすぎてペン先潰れて書けなくなっちゃったw w w,https://x.com/harada_suzuka/status/1760945643714154756
1760302907604557868,tweet,2024-02-21,Wed Feb 21 13:58:12 +0000 2024,0,3,70,,"原田珠々華【虹のコンキスタドール】さんが配信しているよ！- 
 

マイイベは未公開チャイナ衣装アー写撮影風景",https://x.com/harada_suzuka/status/1760302907604557868
1760298170251366467,tweet,2024-02-21,Wed Feb 21 13:39:23 +0000 2024,6,5,112,,50分ぐらいからラジオ配信するね😴😴うたいたいなーのきもちです,https://x.com/harada_suzuka/status/1760298170251366467
1759947328343961871,tweet,2024-02-20,Tue Feb 20 14:25:15 +0000 2024,0,4,75,,（描く方1枚復活してます🤫）,https://x.com/harada_suzuka/status/1759947328343961871
1759938057619554812,tweet,2024-02-20,Tue Feb 20 13:48:25 +0000 2024,13,4,115,,"完売しました！ありがとうございます
メッセージ涙腺にくる( ᵕ̩̩ㅿᵕ̩̩)",https://x.com/harada_suzuka/status/1759938057619554812
1759935888426222056,reply,2024-02-20,Tue Feb 20 13:39:48 +0000 2024,0,1,49,,描くものももうすぐ無くなりそうでした！,https://x.com/harada_suzuka/status/1759935888426222056
1759935517511323739,tweet,2024-02-20,Tue Feb 20 13:38:20 +0000 2024,3,6,101,,"マルシェ販売してます！
ボイスは既にソールドアウトしてます🥲ありがとうございます🥺
描くものはまだあるのでぜひゲットしてね😼",https://x.com/harada_suzuka/status/1759935517511323739
1759914787243467215,tweet,2024-02-20,Tue Feb 20 12:15:57 +0000 2024,20,32,484,https://video.twimg.com/ext_tw_video/1759914773523869696/pr/vid/avc1/1280x720/7ua0XBRVTvb6Yko0.mp4,おそろい🤍 ,https://x.com/harada_suzuka/status/1759914787243467215
1759545234646806745,tweet,2024-02-19,Mon Feb 19 11:47:29 +0000 2024,0,3,78,,"原田珠々華【虹のコンキスタドール】さんが配信しているよ！- 
 

マイイベ設定できなかった🥲",https://x.com/harada_suzuka/status/1759545234646806745
1759543585027027279,tweet,2024-02-19,Mon Feb 19 11:40:56 +0000 2024,2,4,86,,45分からラジオ配信します𖦹.  ̫ .𖦹,https://x.com/harada_suzuka/status/1759543585027027279
1759413626862199217,tweet,2024-02-19,Mon Feb 19 03:04:31 +0000 2024,8,15,149,,"明日22:00~
✍今までありがとう♡マルシェ

🗣️最後のボイスマルシェ♡

販売します！数たくさん用意したのでぜひゲットしてくれたら嬉しいです(•̀.̫•́)✧

",https://x.com/harada_suzuka/status/1759413626862199217
1759166237471564070,tweet,2024-02-18,Sun Feb 18 10:41:29 +0000 2024,26,38,729,https://pbs.twimg.com/media/GGnQW_0a8AEgrfr.jpg,^ ̳.  ̫ . ̳^ฅ ,https://x.com/harada_suzuka/status/1759166237471564070
1758742142376435788,reply,2024-02-17,Sat Feb 17 06:36:17 +0000 2024,1,2,62,,絶対話したいって思ってくれてる方は事前予約をおすすめします😭近々マルシェもだすね！,https://x.com/harada_suzuka/status/1758742142376435788
1758741941976772869,tweet,2024-02-17,Sat Feb 17 06:35:29 +0000 2024,9,4,176,,"チェキチャありがとうございました！みんな同じ気持ちでうれしかったです😼✨️くだらない話も真剣に聞いてくれてありがとうwww
来週のチェキチャがほんとーにラスト！今日完売早かったので来週も早いのが予想されます（本当にありがとうございます）
⬇️",https://x.com/harada_suzuka/status/1758741941976772869
1758598878071521384,tweet,2024-02-16,Fri Feb 16 21:07:00 +0000 2024,5,6,100,,"原田珠々華【虹のコンキスタドール】さんが配信しているよ！- 
 

早起き出来たから突然はじめてみた",https://x.com/harada_suzuka/status/1758598878071521384
1758505290109260024,tweet,2024-02-16,Fri Feb 16 14:55:07 +0000 2024,30,69,955,https://pbs.twimg.com/media/GGd3PMsaoAAWPmT.jpg,じーっ ,https://x.com/harada_suzuka/status/1758505290109260024
1758064302760853959,tweet,2024-02-15,Thu Feb 15 09:42:47 +0000 2024,5,20,161,,ずーちゃんの投稿動画を楽しみましょう！#TikTok ,https://x.com/harada_suzuka/status/1758064302760853959
