id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1606628826431508481,tweet,2022-12-24,Sat Dec 24 12:32:16 +0000 2022,8,32,607,"https://pbs.twimg.com/media/FkvkZfqaAAEGFd0.jpg
https://pbs.twimg.com/media/FkvkZfpagAEyc-Z.jpg
https://pbs.twimg.com/media/FkvkZf2agAMQ-Ct.jpg","弟子‼️
またいつものようにうざ絡みしてくるのを師っ師は待ってます
イイカングーな人生自分で作ってね
いってらっさい👍☆彡.。🍊 ",https://x.com/otsuka__miyu/status/1606628826431508481
1606622932633268225,tweet,2022-12-24,Sat Dec 24 12:08:51 +0000 2022,8,29,424,"https://pbs.twimg.com/media/FkvfCYpaEAINubA.jpg
https://pbs.twimg.com/media/FkvfCYmaAAUoJY8.jpg
https://pbs.twimg.com/media/FkvfCYlaUAAa4tF.jpg
https://pbs.twimg.com/media/FkvfCYmakAguynH.jpg","クリスマス撮影会ありがとうございましたでやんす🙏🪅
4回着替えてたのしかったです
皆様に出会えて幸せでした良いお年を🫡( *ﾉ_ _)ﾉﾉ╮*_ _)╮ｱﾘｶﾞﾀﾔｰ ",https://x.com/otsuka__miyu/status/1606622932633268225
1606305334091317248,tweet,2022-12-23,Fri Dec 23 15:06:50 +0000 2022,3,0,93,,"明日会える方はよろしくお願いします(^-^)
おやすみなさい🪅",https://x.com/otsuka__miyu/status/1606305334091317248
1606269569471062017,tweet,2022-12-23,Fri Dec 23 12:44:43 +0000 2022,0,0,75,,武道館のおもひでNFT販売明日までです📸🪅,https://x.com/otsuka__miyu/status/1606269569471062017
1605942817120845830,reply,2022-12-22,Thu Dec 22 15:06:19 +0000 2022,0,2,118,,@nemoto_nagi いいね👍忘れよう全てを。,https://x.com/otsuka__miyu/status/1605942817120845830
1605941549971431426,tweet,2022-12-22,Thu Dec 22 15:01:17 +0000 2022,1,1,204,,伴侶おった,https://x.com/otsuka__miyu/status/1605941549971431426
1605941199289946112,tweet,2022-12-22,Thu Dec 22 14:59:53 +0000 2022,0,6,114,,"今回も素敵なレポートありがとうございます📸٩(^‿^)۶だあ坊飛ばしてる自分の清々しい顔！
ライブの配信アーカイブは25日まで見れるので見たい方は見るのがいいです✌️",https://x.com/otsuka__miyu/status/1605941199289946112
1605937545300279301,tweet,2022-12-22,Thu Dec 22 14:45:22 +0000 2022,11,64,943,"https://pbs.twimg.com/media/FklvrQgaUAAPjo1.jpg
https://pbs.twimg.com/media/FklvrQmaEAESwaW.jpg
https://pbs.twimg.com/media/FklvrQkaEAIgiPq.jpg
https://pbs.twimg.com/media/FklvrQcagAAoGNF.jpg",ぼくの誕生日に、ネキと、会いました。 ,https://x.com/otsuka__miyu/status/1605937545300279301
1605931804166623233,reply,2022-12-22,Thu Dec 22 14:22:33 +0000 2022,0,4,64,,"ここにもおるぞ 
",https://x.com/otsuka__miyu/status/1605931804166623233
1605524980149518337,tweet,2022-12-21,Wed Dec 21 11:25:59 +0000 2022,36,135,1478,https://pbs.twimg.com/media/Fkf4dMkVQAQRJ8c.jpg,#chainsawman ,https://x.com/otsuka__miyu/status/1605524980149518337
1605484175775207426,reply,2022-12-21,Wed Dec 21 08:43:50 +0000 2022,0,0,45,,"@kawabata__yu ありがとう🥹🥹
スマホケースになんの感動があるんや( °_° )ww
これからたくさんおはなししようね🐥いっしょにがんばろう！",https://x.com/otsuka__miyu/status/1605484175775207426
1605391408516304898,reply,2022-12-21,Wed Dec 21 02:35:13 +0000 2022,0,1,48,,"配信チケットまだまだご視聴いただけますよお。
",https://x.com/otsuka__miyu/status/1605391408516304898
1605390822262046721,tweet,2022-12-21,Wed Dec 21 02:32:53 +0000 2022,8,23,519,https://pbs.twimg.com/media/Fkd-cNLVsAAGStF.jpg,野音で撮っていただいたお写真です。 ,https://x.com/otsuka__miyu/status/1605390822262046721
1605386884439748609,reply,2022-12-21,Wed Dec 21 02:17:14 +0000 2022,1,11,311,https://pbs.twimg.com/media/Fkd63CdXoAMD7Iu.jpg,@okada_ayame 隣にお前がおるのがもう俺の日常やねん。 ,https://x.com/otsuka__miyu/status/1605386884439748609
1605381652821471233,reply,2022-12-21,Wed Dec 21 01:56:27 +0000 2022,1,0,3,,@nae_ashiro なえさんありがとうございますっ🥲🧚‍♀️またお会いできたらうれぴよでございます🫣😭,https://x.com/otsuka__miyu/status/1605381652821471233
1605380341036126208,reply,2022-12-21,Wed Dec 21 01:51:14 +0000 2022,0,0,87,,"@shimizu_riko どうしたの⁉️wwwwそんなこと思ってくれてたなんて嬉しくて照れるよ🦭🦭🦭ありがとう。
わたしもしみちゃんが大事な人です。これからも末長くよろしくお願いしますm(_ _)m",https://x.com/otsuka__miyu/status/1605380341036126208
1605379724020449281,reply,2022-12-21,Wed Dec 21 01:48:47 +0000 2022,0,0,52,,"@obayashi_yuika ありがとう(´▽｀)
かわゆいかだから話しかけたくなるのだよ♡これからもいっぱいよろしくね🌷",https://x.com/otsuka__miyu/status/1605379724020449281
1605379325448290305,reply,2022-12-21,Wed Dec 21 01:47:12 +0000 2022,0,0,51,,@yamato__ao 🧘‍♂️ありがと🧘‍♂️,https://x.com/otsuka__miyu/status/1605379325448290305
1605169544066371585,reply,2022-12-20,Tue Dec 20 11:53:36 +0000 2022,0,1,44,,"@ishihama_mei ありがとう！また英会話しようね
I want to speak English with Meme.",https://x.com/otsuka__miyu/status/1605169544066371585
1605168593662267392,reply,2022-12-20,Tue Dec 20 11:49:49 +0000 2022,0,1,50,,@kumamoto_marina わたしのほうが好きやしなー😅‼️,https://x.com/otsuka__miyu/status/1605168593662267392
1605168476427284480,reply,2022-12-20,Tue Dec 20 11:49:22 +0000 2022,0,1,46,,@hiruta_airi ありがとうだよおーーー！,https://x.com/otsuka__miyu/status/1605168476427284480
1605154080531570693,reply,2022-12-20,Tue Dec 20 10:52:09 +0000 2022,0,0,45,,@miyu_kirino わァ…ぁ…🥹桐乃さんありがとうッ,https://x.com/otsuka__miyu/status/1605154080531570693
1605152692682522624,reply,2022-12-20,Tue Dec 20 10:46:38 +0000 2022,0,0,49,,@yamasaki_nana チャンチー💙だいすきよー,https://x.com/otsuka__miyu/status/1605152692682522624
1605146117540548608,tweet,2022-12-20,Tue Dec 20 10:20:31 +0000 2022,3,5,164,,卍,https://x.com/otsuka__miyu/status/1605146117540548608
1605139957982822400,reply,2022-12-20,Tue Dec 20 09:56:02 +0000 2022,1,1,8,,"@makeupito いとうさんいつも本当にありがとうございます🥹
今年はまつげに優しいひとになりたいです。",https://x.com/otsuka__miyu/status/1605139957982822400
1605139230820564993,reply,2022-12-20,Tue Dec 20 09:53:09 +0000 2022,0,1,50,,@nakamura_akari あかりちゃん先輩ありがとうございます🙈❤️❤️,https://x.com/otsuka__miyu/status/1605139230820564993
1605138929015222272,reply,2022-12-20,Tue Dec 20 09:51:57 +0000 2022,0,1,67,,@matoba_karin うれしいひと☀️🌞,https://x.com/otsuka__miyu/status/1605138929015222272
1605024042112933888,reply,2022-12-20,Tue Dec 20 02:15:26 +0000 2022,1,2,74,,"@harada_suzuka ずーーちゃん、ありがとう🥲
美味しい餃子屋さんを知っているのでこんどいきましょうね。👍
大好きだ。。(*^ω^*)",https://x.com/otsuka__miyu/status/1605024042112933888
1605016088202608640,reply,2022-12-20,Tue Dec 20 01:43:49 +0000 2022,0,0,6,,"@atjam_hashimoto 橋元さん🫣🫣ありがとうございます‼️
いつも我々を優しく見守ってくださり、感謝の気持ちで胸いっぱいです。
来年もどうぞよろしくお願いいたします。",https://x.com/otsuka__miyu/status/1605016088202608640
1605014632577392642,reply,2022-12-20,Tue Dec 20 01:38:02 +0000 2022,0,0,3,,"@katochocola0409 あいさん、、見守って下さりありがとうございます。
ライブで関西に行く際お声がけします🫣",https://x.com/otsuka__miyu/status/1605014632577392642
1605013996343791617,reply,2022-12-20,Tue Dec 20 01:35:31 +0000 2022,0,0,4,,@mizuki_asakura_ ありがとうございます！(´TωT｀),https://x.com/otsuka__miyu/status/1605013996343791617
1604870870044147712,reply,2022-12-19,Mon Dec 19 16:06:47 +0000 2022,4,3,165,,ことし21年だと思って生きてましたorz,https://x.com/otsuka__miyu/status/1604870870044147712
